,max_error,mean_squared_error,mean_absolute_error
1,4.946911775276645,11.531268241002898,3.2586559441133405
2,4.945947505471605,11.23089494073984,3.196084667883021
3,4.9516531277167815,10.973215163390572,3.141701673200459
4,4.9449278920211315,9.99141405497028,2.9439727813740886
5,4.946857346248251,9.257679089136536,2.7768229693233857
6,4.94488183376542,8.467073357399606,2.597214440120653
7,4.944978209451707,8.045629432507326,2.4901464317356163
8,4.946734963973195,7.98823305004186,2.465891364315055
9,4.944794801315601,7.660412392271903,2.3884108187647954
10,4.945740321052018,7.279960572484242,2.2818565356579783
11,4.945630443765287,7.100933185916607,2.2342129418311094
12,4.944542612004903,7.159034698676985,2.2478043800683176
13,4.946676040283578,6.9142063595984435,2.173080168103881
14,4.946615348099181,6.818918349792585,2.1473711682031382
15,4.9429192293671065,6.50812189420408,2.0643418952500636
16,4.941678205836926,6.283730369329239,2.0034864506044676
17,4.945088025275277,6.290343723739628,1.9919450993570536
18,4.939185347419419,6.017452467908573,1.9290229132640009
19,4.946291976298477,6.166713274461598,1.9451244866958903
20,4.939795868700381,5.998498451630166,1.9112785772616274
21,4.942758441137794,5.969531957003399,1.893299503356432
22,4.939823029798101,5.679206756763104,1.819029828803411
23,4.942991377338487,5.911611898773107,1.8816946976367268
24,4.94365158394469,5.92154239271512,1.8753313493002821
25,4.939767370611303,5.701453263506646,1.824977644801703
26,4.939848782699609,5.668874332843548,1.8160763505459216
27,4.937443606510533,5.470081881157011,1.7613038647652905
28,4.940231645468858,5.689558243801561,1.8205153199956177
29,4.937565077751552,5.40332564028891,1.7336719596877819
30,4.940269849206491,5.496879975281735,1.7575599852979313
31,4.940669946167021,5.672736944320173,1.8130327041425012
32,4.942975415424025,5.457561399262706,1.7356538057079116
33,4.933030387425969,5.219381315590146,1.6874524340233725
34,4.93853273119725,5.2485597422022945,1.6875971489575021
35,4.9354546041338,5.260974373733179,1.692856846621399
36,4.939810071164387,5.484532278126414,1.753563222372822
37,4.937406939765321,5.239280576122111,1.685988156094853
38,4.939883632845647,5.244084936661114,1.6752877769831007
39,4.93652494489844,5.1818867069253995,1.6649527281621448
40,4.936957781864721,5.094097750983051,1.6393809687169496
41,4.93597686769139,5.105621697492473,1.6396734396926762
42,4.936843662911348,5.124316680590153,1.645462390219243
43,4.9371539902965464,5.084333897367583,1.627652840047877
44,4.932449504542324,4.948422794572991,1.6056747208989388
45,4.936995806867716,5.094389087144011,1.6350403826851603
46,4.935810698597308,4.9246876628661225,1.5859652928895218
47,4.936137235658254,4.95792293862455,1.592381443581037
48,4.92924015025878,4.900165665891976,1.595528816601248
49,4.931305670246131,4.7582772307595915,1.5415172520388494
50,4.931880952426804,4.875517639425251,1.577304416737082
51,4.93347439225716,4.746323032670944,1.5310703216589208
52,4.933379159578838,4.820379228103295,1.5490499130016284
53,4.934972865772022,4.789862633040134,1.5375036746643893
54,4.9363632115575475,4.9069099539109455,1.5753648065936379
55,4.930628329748378,4.740386668759768,1.529945750089207
56,4.93219192034728,4.745019238700608,1.5267569255315856
57,4.932388194234336,4.794523695332745,1.541411978380015
58,4.932802909988058,4.632673811459041,1.4892985086714001
59,4.9216085175173045,4.4893564164340765,1.4771812327240255
60,4.927621564629992,4.516857349102002,1.4539954007935105
61,4.937069586031134,4.709844110396095,1.5005668840067155
62,4.931849657778394,4.564822747190104,1.4734555953594068
63,4.928851110500203,4.526569519588132,1.463679856989888
64,4.9259133092185525,4.421940950518892,1.4260608900239913
65,4.932477535749254,4.531556976149921,1.4448207686204384
66,4.930123732792665,4.5627923867805835,1.470906509898453
67,4.932693363550164,4.571958121525281,1.4470739138301985
68,4.927215538141703,4.346090168436035,1.3960491863169173
69,4.928615248339822,4.403515859691125,1.4133919736989962
70,4.929082514594468,4.413009315644228,1.4048237887993131
71,4.927554349149002,4.295216534939925,1.381342620591082
72,4.925427653650797,4.385680044174554,1.4093705114060655
73,4.921215343977329,4.2403281600960305,1.375314867522621
74,4.923469327832839,4.299764489135927,1.3839958826850582
75,4.92816630197797,4.384707910435378,1.3905962208576725
76,4.929446905635369,4.357748815306149,1.385996815383235
77,4.925969412527596,4.328522937359824,1.385464295470281
78,4.925488391293433,4.2835549048434505,1.3608807403836753
79,4.926331688863505,4.394381258614151,1.4123023243864834
80,4.921461291515893,4.161387519191823,1.3222242590179227
81,4.924186112484865,4.310565356592844,1.3745057231762308
82,4.927013398026122,4.2429506069097975,1.3501201193686179
83,4.91580904404265,4.061975052733971,1.304287819105555
84,4.91683292088489,4.089446247317944,1.30861622579937
85,4.9218587528531845,4.161119560736984,1.3232594427762316
86,4.917352307496441,4.0914398697875525,1.307779819653599
87,4.923475070768112,4.223559306229868,1.3369760203977454
88,4.923292539795911,4.18057177268093,1.3160809643769977
89,4.923395897652132,4.1587931306077754,1.3160806848817999
90,4.923879018495357,4.145936436998408,1.310238826556407
91,4.922545291542031,4.109896215743688,1.3081318471212176
92,4.919585594239323,4.056820618725733,1.30047947820983
93,4.9225736752368645,4.098717270107656,1.3003921681276316
94,4.915973200413457,4.0152401312016135,1.2637180730628523
95,4.917409169271996,4.085158145639244,1.2841107423906903
96,4.92246030849815,4.091467827260691,1.2928188968291083
97,4.920293719953059,4.033632914837783,1.273080914451849
98,4.914571641528294,3.9786468595108486,1.2703697516306889
99,4.917774271865872,4.018654918034032,1.275165577504907
100,4.918164623368565,3.9683729119232627,1.2539853838916892
101,4.915819316101755,4.026297516987248,1.267084235718618
102,4.916876994495397,3.880782065203248,1.2252546187466844
103,4.913279584206524,3.9146477774399626,1.2423198805980207
104,4.917808400106739,4.034774848003114,1.2598539666849597
105,4.91840475828369,4.019643065060535,1.2578836546513614
106,4.919558293900157,4.017098232914524,1.2608883972981542
107,4.918728881506334,3.9547917891852906,1.2294174948209922
108,4.9125495877173,3.869272878972482,1.211991261635318
109,4.9232312785563295,4.016467746637082,1.2572241129063855
110,4.914924140903695,3.89241066362146,1.2160015002038986
111,4.918231577811241,3.9408965165748686,1.2233099233045157
112,4.911419130578969,3.8518021063200316,1.2072969704193333
113,4.9174349654503935,3.8877224466062392,1.2257383158368866
114,4.9160677545734695,3.952069773734358,1.2308783854215442
115,4.914938632620358,3.9165539594528536,1.2233027452205787
116,4.913157110777882,3.8593176748739726,1.2086212488842563
117,4.919571885935887,3.973445269768907,1.2268542016521997
118,4.916154485805188,3.865117504626994,1.202010309052973
119,4.909235981350344,3.7472367810272327,1.1782394565442345
120,4.925011792240267,4.027933655942352,1.2332707242988368
121,4.914667518801697,3.839777829031928,1.1988643313895753
122,4.916079028356247,3.8795305875140613,1.2065555630590405
123,4.909771983459874,3.7851928288842798,1.176823867691727
124,4.9200299026036225,3.9581874736061264,1.222366261123423
125,4.907283456984778,3.7309069278446896,1.1680641227596726
126,4.915006990672504,3.8203560719349965,1.19041842412284
127,4.909195313840189,3.724525036738656,1.1652526012243836
128,4.909364332247628,3.765105950713467,1.1764635540933854
129,4.920131518728687,3.8955689344207327,1.2027500618038605
130,4.916416240020484,3.856876252331543,1.190046771184021
131,4.908785179939602,3.7103095652947844,1.1608559572106494
132,4.908652586046618,3.6805054223333986,1.1511104925667417
133,4.915316867931702,3.831146494172463,1.1797884184408534
134,4.9066400694957535,3.6852070044126655,1.1479632235133543
135,4.912464675952089,3.7865829234809736,1.1781005668485702
136,4.9109104773020125,3.7286839805566196,1.157589446648129
137,4.919115281584251,3.8716397338534376,1.1885326668290463
138,4.912141117348614,3.7812928529543535,1.167933676965351
139,4.9107855135485226,3.714680675778303,1.1494778142468622
140,4.915174244339821,3.8392793024314282,1.1848372800591513
141,4.908736030905308,3.745819505776969,1.1645863655718303
142,4.911296992679549,3.7228505787980932,1.1539735153666248
143,4.908518354080437,3.689341371974494,1.1470726282324015
144,4.910535073124125,3.7606337501616025,1.164018792612294
145,4.906332321200608,3.68150583712981,1.1451244933452671
146,4.910719031399565,3.690438679297151,1.1480327719426886
147,4.917978724154945,3.847066698424121,1.1760421273961659
148,4.9114815076941785,3.7295027710595408,1.1543810379312516
149,4.905319059126512,3.604195277886071,1.1252926868793525
150,4.9104205263249145,3.696720381812836,1.1395594387827896
151,4.916950851680027,3.88170363099731,1.183705316064304
152,4.9045094200683454,3.6442769409025675,1.1342760896434494
153,4.911508168925392,3.8029368436289035,1.1644710294399514
154,4.9134866267171065,3.7618305668520304,1.158977634797605
155,4.909019901540519,3.7489116347277585,1.153868679861718
156,4.916156842752023,3.8050610601737933,1.166208207440222
157,4.914129899710504,3.7306881840693156,1.154466195761965
158,4.908829268561364,3.652970652803236,1.1340838755588867
159,4.899397365763858,3.5530836622757422,1.1097760237111791
160,4.906162801575931,3.687355166676534,1.1390971719433753
161,4.909696133267561,3.7107603200963672,1.143206538588146
162,4.906051436033691,3.689655058622563,1.13801742712033
163,4.905950924130622,3.6003657426507902,1.122944223321531
164,4.9099980967963655,3.6751410656633867,1.1352000015352555
165,4.911607979851422,3.719935848614082,1.1513990514633692
166,4.912723651444659,3.73381276498145,1.1444609742869871
167,4.91451806690001,3.7926626481560124,1.1575464578906902
168,4.906541753405196,3.708735360688581,1.1452297128064812
169,4.910224332807062,3.704948509657469,1.135822624547571
170,4.910396029271918,3.719307070995602,1.1423582090024387
171,4.912992607708225,3.7140944096992157,1.137125268109135
172,4.905155423522341,3.5467494842860727,1.1114028846774096
173,4.8933686750225815,3.6027358936483935,1.1166190045085207
174,4.909890323658291,3.565912226067325,1.1172677629436536
175,4.911767457162247,3.746293056199277,1.1527733878650166
176,4.903965841306249,3.5771624001412787,1.1069041406898235
177,4.907287877684146,3.5745442873681577,1.1069457927278996
178,4.9155717331453515,3.832492979515545,1.1615136769767191
179,4.9083980667483464,3.654500841532233,1.1262804448534738
180,4.910202935357769,3.6569619476887194,1.1266303172513585
181,4.911153254203829,3.723580545400621,1.140766233156298
182,4.897705735147286,3.5290078550931345,1.1016733475224398
183,4.909247834636711,3.6944068691987204,1.1373023187665818
184,4.910410302994301,3.7143586102334187,1.1364733427743197
185,4.908621557631567,3.6679234055953924,1.1258243276630937
186,4.905910619792894,3.639527615013034,1.1170543798065102
187,4.900180557199065,3.5082066254356676,1.0909777571117965
188,4.90862070439141,3.582130098306722,1.1127724674253452
189,4.906906416945801,3.685494983851134,1.1309635557331303
190,4.901014443684421,3.5649255901080945,1.1032438736445058
191,4.905153362122607,3.6400825511516257,1.1176889815695625
192,4.896533990879033,3.475462298716505,1.084284075583724
193,4.904799820421497,3.603547165514983,1.1118936352951432
194,4.907192961335824,3.7157892106519177,1.1303316957955296
195,4.905291570626739,3.583147746798414,1.1015761199377938
196,4.902919166233729,3.421073190798547,1.0691032061009398
197,4.899570729200633,3.4239078703166554,1.0764972119126894
198,4.899446648941419,3.5196728198900513,1.0868022308028968
199,4.91073624889587,3.6129402392598022,1.1101559416360574
200,4.9079862897837785,3.65119054904769,1.117399709333841
201,4.905275184833772,3.630434274609985,1.115743485142222
202,4.905529937625385,3.5498698820584886,1.0956014960722062
203,4.900156810158848,3.489307789923904,1.0858561930630928
204,4.904446996392505,3.527125488489436,1.09084269763813
205,4.901270405453212,3.4610983845093557,1.0764146332699456
206,4.904141994925072,3.6220258487524593,1.1084097048710346
207,4.909093555846692,3.6579235390395715,1.1189638295584572
208,4.892669957879267,3.520112801811542,1.0893735674328866
209,4.9031669361992165,3.5019598368968308,1.0824270762508978
210,4.903386823849252,3.52228874127393,1.089174479508757
211,4.905214952551504,3.549463573848807,1.0943065775088765
212,4.902466211702948,3.5998874830835996,1.1067135691226313
213,4.898886482070392,3.4833708412796893,1.0765737217224338
214,4.910281160965538,3.607709738386292,1.1089823690629943
215,4.905903209292797,3.591017026129736,1.1041608540399281
216,4.9008532452395075,3.399147967340815,1.064336545513243
217,4.9016434899538215,3.4464562793137636,1.0757940166162465
218,4.910224273653378,3.673080126330866,1.1184751263267527
219,4.907151951349812,3.4596872752898067,1.0720824187141036
220,4.901665416791028,3.4314150734935227,1.065371162509634
221,4.909632061791442,3.4787742809335245,1.0777650180315403
222,4.8957616171508525,3.526440986007453,1.0846749271921496
223,4.903052615100211,3.3599436614486384,1.0482545444300622
224,4.907203465624652,3.5329705537504412,1.0901710634257105
225,4.9024018743609465,3.5462065264028344,1.0895773617600353
226,4.901444998002631,3.3840611377301926,1.0515247406589623
227,4.90348353072334,3.5277238583260697,1.0897546302442094
228,4.899486674023252,3.3718460761035556,1.0510055575880903
229,4.903726830892782,3.5982716256838376,1.0949085498738218
230,4.907206066693278,3.6278761469946885,1.102446886503809
231,4.9069359525366325,3.5972569159370953,1.1035837390149095
232,4.903664578210321,3.4725391868031523,1.0716104506984163
233,4.896258224860824,3.3141172555238607,1.03944438260551
234,4.899971925653997,3.3887742342254534,1.0520901372624702
235,4.904004921398694,3.5119619656748857,1.0831305266493907
236,4.904597615417447,3.5709541842899393,1.0897640194736364
237,4.905667959489315,3.5293179942928563,1.080738750891036
238,4.906853019170671,3.5546068388842893,1.0907446685414661
239,4.903596673249861,3.4036454991476606,1.0512482187467875
240,4.904329882984468,3.3900896223226633,1.0551268721029576
241,4.900528843689025,3.406572687066746,1.0572516566368204
242,4.888523960449619,3.403382916450333,1.05253391250123
243,4.904646445665812,3.551205332031986,1.0885139651169946
244,4.904021009511083,3.3975238969093553,1.0548497581413132
245,4.903160599710595,3.517454260267669,1.0812215311059832
246,4.9030632089717905,3.537882557476479,1.083431849268593
247,4.898717935189053,3.3660457958675347,1.0462776558055826
248,4.8992094956942385,3.367481571954669,1.048706867650459
249,4.904869362765621,3.440760192076571,1.061388880262341
250,4.899605631967555,3.3722226507519526,1.0466603181426357
251,4.897215329478261,3.3940613476508203,1.0491773086235445
252,4.902168794101349,3.4357843523390135,1.058107385732844
253,4.903663340432928,3.4183887690885726,1.052362786294439
254,4.904167512002287,3.4383739007768543,1.0633428476799967
255,4.8964192113377605,3.372712028348633,1.0473068023379795
256,4.900196579893731,3.4429652990210386,1.0678117756893475
257,4.897406770675576,3.3322189717072623,1.040539500329254
258,4.901420685648532,3.5022826704146395,1.0684538543544655
259,4.893714062690864,3.359413721799413,1.0445229093635275
260,4.900689575091121,3.387370989666994,1.0446227774703791
261,4.902731606878503,3.3373597776575736,1.0358499754971768
262,4.904379821394257,3.477670842050697,1.0685458220328812
263,4.906995731845672,3.479631908499387,1.069462995255806
264,4.905140190586413,3.5219347678006225,1.0706563857744498
265,4.903634117145727,3.481472042892753,1.075552245252538
266,4.901819877849621,3.316265785623526,1.0311846579313253
267,4.8980558221551265,3.3438178582379714,1.0350421062429784
268,4.898616062973699,3.330858731636039,1.0367990366526407
269,4.906657701777021,3.4167594060222837,1.0551756649364763
270,4.903649794386651,3.3664392122198876,1.043348469995787
271,4.901715552468487,3.3779624128647767,1.0456876085191402
272,4.90036201995648,3.3444315724865676,1.0385006682211009
273,4.901839782848153,3.4985285875309,1.067493414817725
274,4.900565040659775,3.478916064632307,1.0630943519561
275,4.900633517806313,3.3378160796449228,1.030787795605969
276,4.901508632110681,3.377302165148799,1.0434189161829472
277,4.905514163989664,3.46091434800103,1.060432696357712
278,4.9013044713025185,3.317581017907482,1.0248876776791949
279,4.888121990520114,3.3218150985663204,1.0288070702708818
280,4.902146084193145,3.2884805524287746,1.023091658772765
281,4.885179852265102,3.3973619336303265,1.048215647947452
282,4.903517181794938,3.384937780017357,1.042034146366853
283,4.9039565813685515,3.419603954918816,1.0496553807389588
284,4.901179135341702,3.3957359284016704,1.0500296103329705
285,4.898360959524829,3.3310337728305695,1.0361235397070028
286,4.89605063315452,3.36887815600459,1.0400629780073836
287,4.883854229000741,3.278486739167535,1.0183909765750787
288,4.890612986372486,3.5257024517392193,1.0732834046415836
289,4.8869081868887445,3.215920627792896,1.0102866675091993
290,4.902152102131667,3.352836521354795,1.0294371458154798
291,4.903658076181675,3.465253825884415,1.0617056259403246
292,4.89910964897448,3.293911925820011,1.0231196359907329
293,4.898751013854281,3.442583736173299,1.0519972045348929
294,4.903338063391004,3.2715180322436765,1.0247443769967557
295,4.893474794102192,3.196796873920348,1.0031398087966974
296,4.900173698041089,3.4134360784311415,1.0486182134533348
297,4.897346747341931,3.2100819897292743,1.0121010904737173
298,4.885222251386876,3.2342283127511338,1.0040070459791894
299,4.9050963222796655,3.266001666893179,1.0163418758280511
300,4.901012418258866,3.237282232322895,1.0117195120588474
301,4.89122448083177,3.2688532387802014,1.0147894572685925
302,4.901997992053018,3.2369433926788775,1.0114283219591367
303,4.89919798584888,3.3748409791728338,1.0404930775932955
304,4.901401986193325,3.3956586511581266,1.0448495451208237
305,4.904547638360145,3.3353038570813407,1.0333328443976633
306,4.898566437153624,3.34831591962979,1.0288846492946844
307,4.904471357135431,3.163598849000628,0.9926675008225944
308,4.9017398415751305,3.2962627298085367,1.0259139943765958
309,4.905644232019115,3.2923594798601608,1.0167807516720953
310,4.895350091440858,3.4377522461917676,1.0481931746303472
311,4.898880406063197,3.2992362538662907,1.0171977362795972
312,4.898906120775724,3.2997732520428755,1.0235984480015217
313,4.887742693750947,3.316159396613392,1.0287948610975717
314,4.898886129332571,3.372370504758566,1.037025859287032
315,4.89870273284368,3.225972826174757,1.0104780591317668
316,4.90275286960555,3.278103788920456,1.0161449527296411
317,4.898029583484321,3.2526430712480785,1.0089684240213352
318,4.896140536830339,3.2886461380383123,1.0149445325051738
319,4.8980838658708,3.4156752453880848,1.048673234272336
320,4.902443892889267,3.1733972370523817,0.995641082727504
