,max_error,mean_squared_error,mean_absolute_error
1,4.946911654598892,11.561149628078295,3.264522910577699
2,4.941988311878109,10.054842451665321,2.9538582883418534
3,4.9381790994322206,9.389810343091407,2.8158686548987357
4,4.938104252112228,9.224762060200561,2.7765586992317823
5,4.938068652878546,8.886704580593102,2.7085056926227735
6,4.937886395278507,8.627392808166354,2.6492996494987393
7,4.937820738403457,8.402550910794284,2.599300834545455
8,4.937300958728584,8.01636397796914,2.510709897185351
9,4.940750023304478,7.620591612200674,2.4124414377409438
10,4.936868689161039,6.9360718878676115,2.230738137661196
11,4.936994802202704,6.572971828648191,2.126243064675215
12,4.936823882465278,6.181694982522938,2.0084474789328772
13,4.936711137882522,5.901288012369905,1.9236474802663148
14,4.936331701719161,5.759219473951305,1.874893641538003
15,4.936193141335986,5.61534320559184,1.831776885369373
16,4.9363264878789845,5.564730603159985,1.8127445774533852
17,4.935967411875184,5.410875200055715,1.7635014449225195
18,4.935520071426053,5.331162853118577,1.7441421998881657
19,4.9355804282623605,5.183203755709319,1.6922652849468292
20,4.934905244549074,5.112805710614015,1.6701237439289187
21,4.934362142550671,5.019202926528488,1.6366297418976052
22,4.93415149716426,4.916607632633634,1.5990794691120214
23,4.93329845615357,4.86537979598809,1.5726213002718972
24,4.9338017539095125,4.857545292798563,1.572072109018366
25,4.933388775212383,4.800622051516148,1.5494035583972625
26,4.933255660581386,4.767891694606171,1.5340636961840108
27,4.933111612598744,4.739259466429668,1.522643090035635
28,4.932544756712531,4.659687841543954,1.4966070939100184
29,4.932613034633393,4.626503618459021,1.4833811072589562
30,4.932079072489978,4.61249042403149,1.4743646346188177
31,4.932502208731449,4.606800727927503,1.4723510806536917
32,4.93176034774385,4.50501128744446,1.4346065669611532
33,4.930825316743285,4.482598384128884,1.4311763151806673
34,4.930855220009155,4.475371979639087,1.428943877441686
35,4.93049306521914,4.43334279298451,1.4118847715540006
36,4.930006044270618,4.399725851273946,1.4005096728340272
37,4.928994233189324,4.371487343053671,1.391092235059277
38,4.9285867336964015,4.355163865039256,1.3831512262828052
39,4.928694529852848,4.3253095302146525,1.3670851988474235
40,4.927945683885715,4.288414374568787,1.3556739294629965
41,4.929050874416708,4.28498357241182,1.3524141395340326
42,4.92736929793045,4.259806922811541,1.3406706249366127
43,4.92662911274087,4.238582469242014,1.3329310242573433
