,max_error,mean_squared_error
DP,1.5830776066884762,0.46796983485383536
DP+C,1.8560221098472365,0.5064152659862917
RQ,0.0007327992644041714,1.6073689774094467e-10
RQ+C,3.113327593151638e-05,3.3263881722302876e-12
RBF,0.000662342636167601,1.436815273706891e-10
RBF+C,0.00012840044834039332,2.517624821406559e-11
RBF+DP+C,0.0001528877127947581,2.743995203035735e-11
ExpSin,0.0006624696598356294,1.4372225813374215e-10
ExpSin+C,0.00012974341549298885,2.5318762976839385e-11
RBF+RQ+ExpSin+C,3.045375969801256e-05,3.2433722712028846e-12
