,max_error,mean_squared_error
DP,3.1586860101457326,3.581139078666432
DP+C,3.157853214048931,3.5781961440387255
RQ,4.43139996218007,5.032530938969047
RQ+C,1.8966309625438234,0.5026510537051744
RBF,4.946915713990305,9.53840648823024
RBF+C,1.7550976225583517,0.43916827986035833
RBF+DP+C,2.6044908529280413,0.6204141545310906
ExpSin,4.946915713875917,9.531794645040522
ExpSin+C,1.799969303877261,0.454718601629728
RBF+RQ+ExpSin+C,1.6148849709797295,0.4386819920711743
